epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,478.565,0.64624,0.74857,1,0.51727,0.00332944,0.00332944,0.00332944
2,1149.5,0.57462,0.80003,1,0.45641,0.00659681,0.00659681,0.00659681
3,1773.86,0.54981,0.81026,1,0.42569,0.00979818,0.00979818,0.00979818
4,2390.74,0.51441,0.83014,1,0.39061,0.009703,0.009703,0.009703
5,2996.47,0.47023,0.84578,1,0.34013,0.009604,0.009604,0.009604
6,3619.82,0.4413,0.84812,1,0.34105,0.009505,0.009505,0.009505
7,3938.69,0.41912,0.89534,1,0.24407,0.009406,0.009406,0.009406
8,4603.94,0.39654,0.89987,1,0.24491,0.009307,0.009307,0.009307
9,5271.57,0.37649,0.90776,1,0.22143,0.009208,0.009208,0.009208
10,5940.41,0.36313,0.92296,1,0.19018,0.009109,0.009109,0.009109
11,6607.82,0.34721,0.93247,1,0.17373,0.00901,0.00901,0.00901
12,7276.38,0.32838,0.94518,1,0.14211,0.008911,0.008911,0.008911
13,7945.11,0.31345,0.9465,1,0.13986,0.008812,0.008812,0.008812
14,8614.2,0.30637,0.95205,1,0.12029,0.008713,0.008713,0.008713
15,9282.76,0.29526,0.95074,1,0.12062,0.008614,0.008614,0.008614
16,9949.68,0.28024,0.96886,1,0.08967,0.008515,0.008515,0.008515
17,10612.2,0.28073,0.96799,1,0.08755,0.008416,0.008416,0.008416
18,11274.4,0.27229,0.97237,1,0.07686,0.008317,0.008317,0.008317
19,11940.4,0.26408,0.97997,1,0.06457,0.008218,0.008218,0.008218
20,12608.1,0.25739,0.97544,1,0.06785,0.008119,0.008119,0.008119
21,13275.5,0.25299,0.97968,1,0.06026,0.00802,0.00802,0.00802
22,13797.6,0.24555,0.98392,1,0.05001,0.007921,0.007921,0.007921
23,14464.3,0.24521,0.9867,1,0.04232,0.007822,0.007822,0.007822
24,15131.5,0.24245,0.98524,1,0.0474,0.007723,0.007723,0.007723
25,15798.9,0.23693,0.98889,1,0.04186,0.007624,0.007624,0.007624
26,16467,0.22998,0.99006,1,0.03206,0.007525,0.007525,0.007525
27,17110.9,0.22368,0.99094,1,0.03048,0.007426,0.007426,0.007426
28,17770.4,0.21874,0.98991,1,0.03489,0.007327,0.007327,0.007327
29,18431,0.21924,0.98889,1,0.03538,0.007228,0.007228,0.007228
30,19091.5,0.2156,0.98991,1,0.03392,0.007129,0.007129,0.007129
31,19750.9,0.20665,0.99064,1,0.02675,0.00703,0.00703,0.00703
32,20410.7,0.21484,0.99094,1,0.02576,0.006931,0.006931,0.006931
33,21071.5,0.20152,0.99313,1,0.02277,0.006832,0.006832,0.006832
34,21732.1,0.1979,0.99415,1,0.01901,0.006733,0.006733,0.006733
35,22386.7,0.19955,0.99459,1,0.01834,0.006634,0.006634,0.006634
36,23046.6,0.19567,0.99503,1,0.01773,0.006535,0.006535,0.006535
37,23706.5,0.19075,0.99561,1,0.01658,0.006436,0.006436,0.006436
38,24365.5,0.19251,0.99532,1,0.01643,0.006337,0.006337,0.006337
39,25025.1,0.18965,0.99474,1,0.01651,0.006238,0.006238,0.006238
40,25685,0.18884,0.99532,1,0.0163,0.006139,0.006139,0.006139
41,26343.7,0.18253,0.99503,1,0.01644,0.00604,0.00604,0.00604
42,27002.7,0.18003,0.99561,1,0.01579,0.005941,0.005941,0.005941
43,27661.8,0.17632,0.99532,1,0.0155,0.005842,0.005842,0.005842
44,28321.8,0.17354,0.99591,1,0.01506,0.005743,0.005743,0.005743
45,28982,0.16923,0.99576,1,0.015,0.005644,0.005644,0.005644
46,29642.1,0.16937,0.99576,1,0.01436,0.005545,0.005545,0.005545
47,30301.7,0.16737,0.99547,1,0.0142,0.005446,0.005446,0.005446
48,30961.4,0.16468,0.99576,1,0.01375,0.005347,0.005347,0.005347
49,31621.4,0.16015,0.99576,1,0.01331,0.005248,0.005248,0.005248
50,32281.5,0.16008,0.99591,1,0.01295,0.005149,0.005149,0.005149
51,32932.2,0.15734,0.9962,1,0.0125,0.00505,0.00505,0.00505
52,33592.3,0.15541,0.99664,1,0.01211,0.004951,0.004951,0.004951
53,34251.7,0.1553,0.99664,1,0.01172,0.004852,0.004852,0.004852
54,34909.4,0.15432,0.99664,1,0.01126,0.004753,0.004753,0.004753
55,35567.9,0.14646,0.99664,1,0.0108,0.004654,0.004654,0.004654
56,36227.6,0.14317,0.99693,1,0.01047,0.004555,0.004555,0.004555
57,36885.6,0.14116,0.99708,1,0.01012,0.004456,0.004456,0.004456
58,37545.6,0.13857,0.99708,1,0.00978,0.004357,0.004357,0.004357
59,38205.6,0.13987,0.99708,1,0.00952,0.004258,0.004258,0.004258
60,38864.1,0.13958,0.99737,1,0.00936,0.004159,0.004159,0.004159
61,39523.3,0.13248,0.99737,1,0.00913,0.00406,0.00406,0.00406
62,40183.6,0.12434,0.99781,1,0.00887,0.003961,0.003961,0.003961
63,40842.9,0.1304,0.99795,1,0.00854,0.003862,0.003862,0.003862
64,41499.9,0.12737,0.99781,1,0.00829,0.003763,0.003763,0.003763
65,42158.8,0.12068,0.99781,1,0.00805,0.003664,0.003664,0.003664
66,42816.5,0.12021,0.99781,1,0.00775,0.003565,0.003565,0.003565
67,43474.6,0.11946,0.99795,1,0.00757,0.003466,0.003466,0.003466
68,44134.3,0.11676,0.9981,1,0.00736,0.003367,0.003367,0.003367
69,44792.5,0.11134,0.99825,1,0.00711,0.003268,0.003268,0.003268
70,45451.4,0.10851,0.99854,1,0.0068,0.003169,0.003169,0.003169
71,46105.4,0.111,0.99839,1,0.00649,0.00307,0.00307,0.00307
72,46767.4,0.10789,0.99854,1,0.00623,0.002971,0.002971,0.002971
73,47427.8,0.1039,0.99868,1,0.006,0.002872,0.002872,0.002872
74,48089.6,0.09786,0.99868,1,0.00579,0.002773,0.002773,0.002773
75,48750.4,0.10142,0.99868,1,0.00554,0.002674,0.002674,0.002674
76,49412.3,0.09625,0.99912,1,0.00533,0.002575,0.002575,0.002575
77,50075.1,0.09482,0.99912,1,0.00521,0.002476,0.002476,0.002476
78,50731.2,0.08991,0.99912,1,0.00506,0.002377,0.002377,0.002377
79,51378.6,0.09185,0.99912,1,0.00493,0.002278,0.002278,0.002278
