epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,91.4817,0.62704,0.6481,1,0.70703,0.00332627,0.00332627,0.00332627
2,188.059,0.55456,0.69431,1,0.62728,0.00659367,0.00659367,0.00659367
3,285.721,0.51298,0.70261,1,0.58447,0.00979508,0.00979508,0.00979508
4,383.707,0.48044,0.71327,1,0.51557,0.009703,0.009703,0.009703
5,481.951,0.43579,0.73341,1,0.5481,0.009604,0.009604,0.009604
6,580.802,0.39728,0.69194,1,0.69369,0.009505,0.009505,0.009505
7,679.469,0.37463,0.70024,1,0.66096,0.009406,0.009406,0.009406
8,938.564,0.35117,0.67773,1,0.85296,0.009307,0.009307,0.009307
9,1030.1,0.32645,0.70261,1,0.7346,0.009208,0.009208,0.009208
10,1125.2,0.30931,0.68839,1,0.8905,0.009109,0.009109,0.009109
11,1222.55,0.29779,0.70379,1,0.81173,0.00901,0.00901,0.00901
12,1320.6,0.27839,0.7109,1,0.91762,0.008911,0.008911,0.008911
13,1418.96,0.26452,0.67536,1,1.01664,0.008812,0.008812,0.008812
14,1516.84,0.25875,0.69787,1,0.93328,0.008713,0.008713,0.008713
15,1615.62,0.24406,0.70735,1,0.92261,0.008614,0.008614,0.008614
16,1713.86,0.23107,0.70379,1,1.09835,0.008515,0.008515,0.008515
17,1812.33,0.22349,0.70498,1,1.02434,0.008416,0.008416,0.008416
18,1910.76,0.21554,0.70261,1,1.11646,0.008317,0.008317,0.008317
19,2008.46,0.20322,0.70853,1,0.94175,0.008218,0.008218,0.008218
20,2106.61,0.2087,0.70498,1,1.04272,0.008119,0.008119,0.008119
21,2205.04,0.20907,0.71801,1,0.95504,0.00802,0.00802,0.00802
22,2303.31,0.18802,0.70142,1,1.16422,0.007921,0.007921,0.007921
23,2401.67,0.18691,0.71445,1,1.02961,0.007822,0.007822,0.007822
24,2500.08,0.17862,0.70972,1,1.10784,0.007723,0.007723,0.007723
25,2598.7,0.17481,0.70853,1,1.03931,0.007624,0.007624,0.007624
26,2696.76,0.17297,0.71209,1,1.06459,0.007525,0.007525,0.007525
27,2795.01,0.17371,0.70498,1,1.07377,0.007426,0.007426,0.007426
28,2893.65,0.16741,0.69076,1,0.99425,0.007327,0.007327,0.007327
29,2992.41,0.16435,0.71209,1,1.05277,0.007228,0.007228,0.007228
30,3090.83,0.15513,0.72038,1,1.0158,0.007129,0.007129,0.007129
31,3189.19,0.15654,0.72156,1,1.1761,0.00703,0.00703,0.00703
32,3287.82,0.15166,0.72156,1,1.25426,0.006931,0.006931,0.006931
33,3386.63,0.15584,0.71327,1,1.051,0.006832,0.006832,0.006832
34,3485.12,0.14259,0.72393,1,1.12434,0.006733,0.006733,0.006733
