Filename,Axis 0,Axis 1,Axis 2,Infomative voxel,Total voxel,Ratio
47-16872 L_masked_squeezed.nii.gz,224,224,224,1381756,11239424,0.12293832851220846
47-16872 R_masked_squeezed_flipped.nii.gz,224,224,224,1607761,11239424,0.1430465653755922
47-22136 L_masked_squeezed.nii.gz,224,224,224,1520506,11239424,0.1352832671852223
47-22136 R_masked_squeezed_flipped.nii.gz,224,224,224,1343245,11239424,0.11951190737176567
47-4881 L 2014_masked_squeezed.nii.gz,224,224,224,1864885,11239424,0.16592353843043914
47-4881 L 2018_masked_squeezed.nii.gz,224,224,224,1681351,11239424,0.1495940539301658
47-4881 R 2014_masked_squeezed_flipped.nii.gz,224,224,224,1708277,11239424,0.15198972829924381
47-4881 R 2018_masked_squeezed_flipped.nii.gz,224,224,224,1697795,11239424,0.1510571182295463
48-26453 L_masked_squeezed.nii.gz,224,224,224,2450172,11239424,0.21799800416818513
48-5955 L_masked_squeezed.nii.gz,224,224,224,1777840,11239424,0.15817892447157433
48-5955 R_masked_squeezed_flipped.nii.gz,224,224,224,1388836,11239424,0.12356825403152333
49-18165 L_masked_squeezed.nii.gz,224,224,224,1171821,11239424,0.1042598802216199
49-18165 R_masked_squeezed_flipped.nii.gz,224,224,224,1366874,11239424,0.12161423930621355
49-3614 L_masked_squeezed.nii.gz,224,224,224,1742762,11239424,0.1550579460299745
49-3614 R_masked_squeezed_flipped.nii.gz,224,224,224,1697009,11239424,0.15098718582019863
50-30909 R_masked_squeezed_flipped.nii.gz,224,224,224,1840328,11239424,0.1637386399872449
51-26987 L_masked_squeezed.nii.gz,224,224,224,1518408,11239424,0.13509660281523322
51-26987 R_masked_squeezed_flipped.nii.gz,224,224,224,1605520,11239424,0.14284717793367346
51-28114 L_masked_squeezed.nii.gz,224,224,224,1840336,11239424,0.1637393517674927
51-28114 R_masked_squeezed_flipped.nii.gz,224,224,224,1675112,11239424,0.14903895430940234
51-3282 L_masked_squeezed.nii.gz,224,224,224,1312235,11239424,0.11675286918617894
51-3282 R_masked_squeezed_flipped.nii.gz,224,224,224,1216809,11239424,0.10826257644519861
52-11116 L_masked_squeezed.nii.gz,224,224,224,1753643,11239424,0.15602605613953172
52-11116 R_masked_squeezed_flipped.nii.gz,224,224,224,1987620,11239424,0.17684358201986153
52-15073 L_masked_squeezed.nii.gz,224,224,224,1803120,11239424,0.16042815005466474
52-15073 R_masked_squeezed_flipped.nii.gz,224,224,224,1490740,11239424,0.13263491082817055
52-15242 L_masked_squeezed.nii.gz,224,224,224,2302535,11239424,0.20486236661238155
52-15242 R_masked_squeezed_flipped.nii.gz,224,224,224,2677721,11239424,0.23824361461939686
52-18852 L_masked_squeezed.nii.gz,224,224,224,1938004,11239424,0.17242912092292273
52-18852 R_masked_squeezed_flipped.nii.gz,224,224,224,1882590,11239424,0.16749879709138119
52-27708 R_masked_squeezed_flipped.nii.gz,224,224,224,1801448,11239424,0.16027938798287172
52-37193 L_masked_squeezed.nii.gz,224,224,224,1226313,11239424,0.10910817137960095
