Filename,Axis 0,Axis 1,Axis 2,Infomative voxel,Total voxel,Ratio
47-16872 L_masked_squeezed.nii.gz,191,201,385,2538165,14780535,0.17172348632847187
47-16872 R_masked_squeezed_flipped.nii.gz,173,253,335,2781507,14662615,0.18970060933878438
47-22136 L_masked_squeezed.nii.gz,168,246,288,2223078,11902464,0.18677460398115886
47-22136 R_masked_squeezed_flipped.nii.gz,145,202,284,1843509,8318360,0.22161928553224433
47-4881 L 2014_masked_squeezed.nii.gz,156,310,308,3792160,14894880,0.2545948674980933
47-4881 L 2018_masked_squeezed.nii.gz,190,303,396,4744943,22797720,0.20813234832255156
47-4881 R 2014_masked_squeezed_flipped.nii.gz,179,301,306,3136097,16486974,0.19021665224922416
47-4881 R 2018_masked_squeezed_flipped.nii.gz,170,250,397,3368832,16872500,0.19966406875092607
48-26453 L_masked_squeezed.nii.gz,196,311,326,4760811,19871656,0.23957796974746343
48-5955 L_masked_squeezed.nii.gz,215,353,339,3889436,25728405,0.15117283795866865
48-5955 R_masked_squeezed_flipped.nii.gz,162,305,317,3074173,15662970,0.19627011990701637
49-18165 L_masked_squeezed.nii.gz,185,256,360,2544762,17049600,0.14925640484234234
49-18165 R_masked_squeezed_flipped.nii.gz,166,324,350,3397570,18824400,0.1804875587004101
49-3614 L_masked_squeezed.nii.gz,241,285,313,3200065,21498405,0.14885127524576824
49-3614 R_masked_squeezed_flipped.nii.gz,239,277,357,3510028,23634471,0.14851307651438445
50-30909 R_masked_squeezed_flipped.nii.gz,184,296,352,3389907,19171328,0.1768217100036054
51-26987 L_masked_squeezed.nii.gz,235,340,251,2572832,20054900,0.12828944547217888
51-26987 R_masked_squeezed_flipped.nii.gz,225,302,268,2561881,18210600,0.1406807573610974
51-28114 L_masked_squeezed.nii.gz,230,298,416,5646993,28512640,0.19805226734528966
51-28114 R_masked_squeezed_flipped.nii.gz,257,324,465,6308570,38719620,0.1629295432134923
51-3282 L_masked_squeezed.nii.gz,186,256,363,2760091,17284608,0.15968490578438344
51-3282 R_masked_squeezed_flipped.nii.gz,174,254,411,2888096,18164556,0.1589962342046786
52-11116 L_masked_squeezed.nii.gz,240,319,424,5641420,32461440,0.17378834703574456
52-11116 R_masked_squeezed_flipped.nii.gz,211,358,373,5568375,28175674,0.19763058729313804
52-15073 L_masked_squeezed.nii.gz,192,321,282,3393390,17380224,0.19524431906055986
52-15073 R_masked_squeezed_flipped.nii.gz,140,321,348,2986707,15639120,0.1909766662062827
52-15242 L_masked_squeezed.nii.gz,197,332,313,4847852,20471452,0.236810364013261
52-15242 R_masked_squeezed_flipped.nii.gz,207,319,300,4831590,19809900,0.24389774809564915
52-18852 L_masked_squeezed.nii.gz,207,295,263,2929764,16060095,0.182425072828025
52-18852 R_masked_squeezed_flipped.nii.gz,219,269,268,2791770,15788148,0.17682694639041893
52-27708 R_masked_squeezed_flipped.nii.gz,188,339,384,5037028,24473088,0.20581906132973493
52-37193 L_masked_squeezed.nii.gz,165,283,314,2002259,14662230,0.13655896817878319
52-37193 R_masked_squeezed_flipped.nii.gz,148,252,361,1918768,13463856,0.1425125164737353
53-12918 L_masked_squeezed.nii.gz,168,271,334,2978864,15206352,0.1958960308165956
53-12918 R_masked_squeezed_flipped.nii.gz,146,281,268,2449498,10994968,0.2227835497111042
53-13011 L_masked_squeezed.nii.gz,161,336,296,3774147,16012416,0.23570128330415596
53-13011 R_masked_squeezed_flipped.nii.gz,183,333,298,3805794,18159822,0.2095722083619542
53-22559 L_masked_squeezed.nii.gz,151,289,333,3584583,14531787,0.24667186492617874
53-22559 R_masked_squeezed_flipped.nii.gz,166,278,336,3728867,15505728,0.24048319433953697
53-24700 L_masked_squeezed.nii.gz,175,249,362,3033641,15774150,0.1923172405486191
53-24700 R_masked_squeezed_flipped.nii.gz,204,269,335,3261015,18383460,0.17738853295299145
53-26507 L_masked_squeezed.nii.gz,204,305,389,4157463,24203580,0.17177058104627496
53-26507 R_masked_squeezed_flipped.nii.gz,157,311,298,2858444,14550446,0.19645061051736834
54-1411 L_masked_squeezed.nii.gz,274,302,263,2801528,21762724,0.12873057619073788
54-1411 R_masked_squeezed_flipped.nii.gz,240,320,281,2841030,21580800,0.13164618549822063
54-17099 L_masked_squeezed.nii.gz,174,304,301,2899945,15921696,0.18213794560579477
54-17099 R_masked_squeezed_flipped.nii.gz,164,315,365,3599364,18855900,0.19088794488727667
54-21497 L 2014_masked_squeezed.nii.gz,182,322,333,3981128,19515132,0.20400210462322263
54-21497 L 2016_masked_squeezed.nii.gz,178,333,265,3017109,15707610,0.19207944429483542
54-21497 R 2014_masked_squeezed_flipped.nii.gz,165,313,316,3482609,16319820,0.21339751296276552
54-21497 R 2016_masked_squeezed_flipped.nii.gz,171,345,265,2851117,15633675,0.18237023604494784
54-25927 L_masked_squeezed.nii.gz,193,362,340,5009939,23754440,0.2109053717957569
54-25927 R_masked_squeezed_flipped.nii.gz,161,363,301,4198090,17591343,0.23864522452890607
54-50 L_masked_squeezed.nii.gz,179,263,353,3161535,16618181,0.1902455509420676
54-50 R_masked_squeezed_flipped.nii.gz,183,311,375,3814444,21342375,0.1787263132617621
55-15078 L_masked_squeezed.nii.gz,248,338,269,2613578,22548656,0.11590837165638608
55-15078 R_masked_squeezed_flipped.nii.gz,189,357,247,2335920,16665831,0.1401622277340986
55-1648 L_masked_squeezed.nii.gz,161,284,297,2916934,13580028,0.21479587523678154
55-1648 R_masked_squeezed_flipped.nii.gz,187,307,310,3175937,17796790,0.17845560912951156
55-17177 L 2018_masked_squeezed.nii.gz,186,238,389,3393105,17220252,0.1970415415523536
55-17177 L 2020_masked_squeezed.nii.gz,192,248,358,3154755,17046528,0.18506730520138764
